halfyear2,,e
1948h1,1948-01-01,-0.182488
1948h2,1948-06-01,-0.8600021
1949h1,1949-01-01,1.417843
1949h2,1949-06-01,1.90263
1950h1,1950-01-01,2.264387
1950h2,1950-06-01,-0.5002809
1951h1,1951-01-01,-0.9480053
1951h2,1951-06-01,-1.704643
1952h1,1952-01-01,-1.422247
1952h2,1952-06-01,-2.02084
1953h1,1953-01-01,-1.852662
1953h2,1953-06-01,-1.888239
1954h1,1954-01-01,1.268206
1954h2,1954-06-01,0.3996123
1955h1,1955-01-01,0.2686417
1955h2,1955-06-01,-1.16516
1956h1,1956-01-01,-0.3449566
1956h2,1956-06-01,-1.243608
1957h1,1957-01-01,-0.5773755
1957h2,1957-06-01,-0.8832409
1958h1,1958-01-01,2.442045
1958h2,1958-06-01,1.194104
1959h1,1959-01-01,0.9736763
1959h2,1959-06-01,-0.0834333
1960h1,1960-01-01,0.5302128
1960h2,1960-06-01,0.2612293
1961h1,1961-01-01,2.322926
1961h2,1961-06-01,0.7925934
1962h1,1962-01-01,0.8503918
1962h2,1962-06-01,-0.2172452
1963h1,1963-01-01,0.878421
1963h2,1963-06-01,-0.2085422
1964h1,1964-01-01,0.3905303
1964h2,1964-06-01,-0.7725411
1965h1,1965-01-01,-0.302492
1965h2,1965-06-01,-1.593917
1966h1,1966-01-01,-1.461383
1966h2,1966-06-01,-2.153254
1967h1,1967-01-01,-1.915438
1967h2,1967-06-01,-2.120182
1968h1,1968-01-01,-2.143669
1968h2,1968-06-01,-2.517521
1969h1,1969-01-01,-2.408222
1969h2,1969-06-01,-2.459295
1970h1,1970-01-01,-1.403
1970h2,1970-06-01,-0.7001642
1971h1,1971-01-01,0.1891301
1971h2,1971-06-01,-0.249195
1972h1,1972-01-01,-0.0502906
1972h2,1972-06-01,-0.7657726
1973h1,1973-01-01,-0.899224
1973h2,1973-06-01,-1.432678
1974h1,1974-01-01,-0.714716
1974h2,1974-06-01,-0.1957207
1975h1,1975-01-01,2.83153
1975h2,1975-06-01,2.030226
1976h1,1976-01-01,1.887682
1976h2,1976-06-01,1.373748
1977h1,1977-01-01,1.494676
1977h2,1977-06-01,0.4634524
1978h1,1978-01-01,0.275246
1978h2,1978-06-01,-0.3103607
1979h1,1979-01-01,-0.1467296
1979h2,1979-06-01,-0.3182006
1980h1,1980-01-01,0.9371701
1980h2,1980-06-01,1.292954
1981h1,1981-01-01,1.581992
1981h2,1981-06-01,1.563885
1982h1,1982-01-01,3.429478
1982h2,1982-06-01,4.018203
1983h1,1983-01-01,4.620287
1983h2,1983-06-01,2.689513
1984h1,1984-01-01,1.937551
1984h2,1984-06-01,1.127535
1985h1,1985-01-01,1.441733
1985h2,1985-06-01,0.8697175
1986h1,1986-01-01,1.232213
1986h2,1986-06-01,0.6288879
1987h1,1987-01-01,0.6081111
1987h2,1987-06-01,-0.3292029
1988h1,1988-01-01,-0.2821931
1988h2,1988-06-01,-0.8155025
1989h1,1989-01-01,-0.664555
1989h2,1989-06-01,-0.9178525
1990h1,1990-01-01,-0.5235716
1990h2,1990-06-01,-0.3686256
1991h1,1991-01-01,0.9350609
1991h2,1991-06-01,0.653558
1992h1,1992-01-01,1.67488
1992h2,1992-06-01,1.182693
1993h1,1993-01-01,1.297879
1993h2,1993-06-01,0.3936532
1994h1,1994-01-01,0.5584533
1994h2,1994-06-01,-0.4627489
1995h1,1995-01-01,-0.298307
1995h2,1995-06-01,-0.6486861
1996h1,1996-01-01,-0.3630155
1996h2,1996-06-01,-1.007679
1997h1,1997-01-01,-0.8132524
1997h2,1997-06-01,-1.548729
1998h1,1998-01-01,-1.480256
1998h2,1998-06-01,-1.86437
1999h1,1999-01-01,-1.81143
1999h2,1999-06-01,-2.216519
2000h1,2000-01-01,-2.104012
2000h2,2000-06-01,-2.407528
2001h1,2001-01-01,-1.794016
2001h2,2001-06-01,-1.262722
2002h1,2002-01-01,-0.358623
2002h2,2002-06-01,-0.6539885
2003h1,2003-01-01,-0.0648034
2003h2,2003-06-01,-0.4423005
2004h1,2004-01-01,-0.4633841
2004h2,2004-06-01,-0.954937
2005h1,2005-01-01,-0.9266009
2005h2,2005-06-01,-1.462593
2006h1,2006-01-01,-1.487612
2006h2,2006-06-01,-1.820982
2007h1,2007-01-01,-1.675514
2007h2,2007-06-01,-1.704133
2008h1,2008-01-01,-1.083191
2008h2,2008-06-01,-0.0498861
2009h1,2009-01-01,2.638056
2009h2,2009-06-01,3.245978
2010h1,2010-01-01,3.610376
2010h2,2010-06-01,2.949866
2011h1,2011-01-01,2.841301
2011h2,2011-06-01,2.312525
2012h1,2012-01-01,1.923185
2012h2,2012-06-01,1.439725
2013h1,2013-01-01,1.319211
2013h2,2013-06-01,0.606397
2014h1,2014-01-01,0.0714765
2014h2,2014-06-01,-0.6124364
2015h1,2015-01-01,-0.8623225
2015h2,2015-06-01,-1.431414
2016h1,2016-01-01,-1.4531
2016h2,2016-06-01,-1.707115
