step,yr,oirf,Lower,Upper
0,0,0.000238095,-0.006232707,0.006708898
1,0.5,0.005504587,-0.0063128,0.017321975
2,1,0.014970147,-0.001066696,0.03100699
3,1.5,0.017113004,-0.000818407,0.035045143
4,2,0.020719383,0.001914956,0.03952381
5,2.5,0.026503568,0.007629969,0.045377894
6,3,0.023315858,0.004505607,0.04212611
7,3.5,0.016430028,-0.002056939,0.034916994
8,4,0.011186836,-0.007098442,0.029471385
9,4.5,0.008119994,-0.01017038,0.026411097
10,5,0.005144168,-0.013166594,0.023455657
11,5.5,0.010299985,-0.008097422,0.028697393
12,6,0.008692296,-0.009853648,0.027238969
13,6.5,0.012169798,-0.006748944,0.031088539
14,7,0.00096039,-0.018178972,0.020099024
15,7.5,-0.006111839,-0.025412116,0.013188437
16,8,-0.016268385,-0.035864278,0.003327508
17,8.5,-0.014223824,-0.034231105,0.005783457
18,9,-0.015966215,-0.03627421,0.004342508
19,9.5,-0.024602446,-0.045263579,-0.003940585
20,10,-0.025662589,-0.046861803,-0.004463376
21,10.5,-0.019560216,-0.041129314,0.002008883
22,11,-0.019828892,-0.041727829,0.002070045
23,11.5,-0.014814329,-0.03697539,0.007346003
24,12,-0.017167613,-0.039602446,0.005266492
25,12.5,-0.017667832,-0.040357507,0.005021844
26,13,-0.018299112,-0.041275666,0.004678171
27,13.5,-0.018097422,-0.041226154,0.005030581
28,14,-0.019259502,-0.041948449,0.003428717
29,14.5,-0.015625455,-0.03783894,0.006587302
30,15,-0.014256589,-0.036197029,0.00768385
31,15.5,-0.010213339,-0.03266856,0.012241153
32,16,-0.010268676,-0.033571429,0.013034076
33,16.5,-0.005374982,-0.029531091,0.018781855
34,17,-0.008347168,-0.032775593,0.016081986
35,17.5,-0.005568662,-0.030119412,0.018982088
36,18,-0.008017329,-0.032459589,0.016424203
37,18.5,-0.006173001,-0.030506772,0.018160769
38,19,-0.007040192,-0.031055046,0.016974661
39,19.5,-0.004447357,-0.028007136,0.019112422
40,20,-0.002746469,-0.025761614,0.020269404
41,20.5,0.001112567,-0.021300422,0.023525557
42,21,0.001201398,-0.020667686,0.023069754
43,21.5,0.003310762,-0.018271443,0.024893694
44,22,0.004141547,-0.017413718,0.025696811
45,22.5,0.009645406,-0.012203291,0.031494102
46,23,0.008987185,-0.013290374,0.031264744
47,23.5,0.011622979,-0.010965487,0.034212174
48,24,0.008048638,-0.01468618,0.030784185
49,24.5,0.009301733,-0.013577254,0.032180719
50,25,0.00821465,-0.014792486,0.031221785
51,25.5,0.008417795,-0.014942479,0.031778069
52,26,0.005969856,-0.017699869,0.029640309
53,26.5,0.005771807,-0.018200087,0.029743702
54,27,0.002790884,-0.02115043,0.026731469
55,27.5,0.004084753,-0.019528178,0.027697685
56,28,0.000366972,-0.022773409,0.023507354
57,28.5,0.001740935,-0.020993884,0.024476482
58,29,-0.00056939,-0.023078491,0.021939712
59,29.5,0.000358235,-0.022107179,0.022824377
60,30,-0.000966943,-0.023654434,0.021721276
