step,step,yr,oirf,lower,upper
0,0,0,0,0,0
1,1,0.5,0.000230054,-0.000294192,0.0007543
2,2,1,0.00038777,-0.000260756,0.001036296
3,3,1.5,0.000496698,-0.000347395,0.001340792
4,4,2,0.000900029,-0.000108298,0.001908357
5,5,2.5,0.000992346,-0.00014615,0.002131051
6,6,3,0.000808975,-0.000462211,0.002080372
7,7,3.5,0.000751987,-0.000667452,0.002171636
8,8,4,0.000644741,-0.000863439,0.002152711
9,9,4.5,0.000297767,-0.001283383,0.001878706
10,10,5,0.000238255,-0.001393994,0.001870505
11,11,5.5,0.00034403,-0.001324179,0.002012449
12,12,6,0.000196408,-0.001474745,0.001867561
13,13,6.5,-6.28759E-05,-0.001788703,0.001662952
14,14,7,0.000405434,-0.00133974,0.002150818
15,15,7.5,0.000275687,-0.001484838,0.002036211
16,16,8,0.001256466,-0.000507003,0.003019935
17,17,8.5,0.001425117,-0.000367582,0.003217605
18,18,9,0.001348993,-0.000485553,0.003183539
19,19,9.5,0.001199899,-0.000691845,0.003091643
20,20,10,0.001115153,-0.000821382,0.003051689
21,21,10.5,0.001555915,-0.000435295,0.003547125
22,22,11,0.001863776,-0.000156874,0.003884426
23,23,11.5,0.002366783,0.000310384,0.004422972
24,24,12,0.002649619,0.000583337,0.004715692
25,25,12.5,0.00306031,0.00096606,0.005154771
26,26,13,0.003153047,0.001020314,0.005285991
27,27,13.5,0.003092484,0.000927156,0.005257812
28,28,14,0.002905329,0.000701939,0.005108508
29,29,14.5,0.002645834,0.000407747,0.004883711
30,30,15,0.002210329,-3.78517E-05,0.0044583
31,31,15.5,0.001964504,-0.000282205,0.004211213
32,32,16,0.001646129,-0.000586071,0.003878328
33,33,16.5,0.001499979,-0.000715608,0.003715355
34,34,17,0.001615427,-0.000583547,0.0038144
35,35,17.5,0.001577996,-0.000608782,0.003764562
36,36,18,0.001772722,-0.000398705,0.003944148
37,37,18.5,0.001667368,-0.000488287,0.003822812
38,38,19,0.001718047,-0.000416369,0.003852673
39,39,19.5,0.001552761,-0.00055663,0.003662153
40,40,20,0.001436262,-0.000649367,0.003521891
41,41,20.5,0.001297683,-0.000757244,0.00335282
42,42,21,0.000991925,-0.0010466,0.00303045
43,43,21.5,0.001055432,-0.00095933,0.003070194
44,44,22,0.000925684,-0.001093494,0.002944652
45,45,22.5,0.000979728,-0.001049754,0.003009
46,46,23,0.000744837,-0.001315347,0.002805022
47,47,23.5,0.000433402,-0.001665054,0.002531648
48,48,24,0.000210708,-0.00191824,0.002339866
49,49,24.5,-0.000120915,-0.002283089,0.002041258
50,50,25,-0.000364848,-0.002534592,0.001804895
51,51,25.5,-0.000696892,-0.002879043,0.001485259
52,52,26,-0.00103987,-0.003211717,0.001131766
53,53,26.5,-0.001183286,-0.003327796,0.000961223
54,54,27,-0.001318501,-0.003428734,0.000791732
55,55,27.5,-0.001235227,-0.003304664,0.00083442
56,56,28,-0.001088447,-0.003125499,0.000948396
57,57,28.5,-0.000877739,-0.002882828,0.00112735
58,58,29,-0.000602052,-0.002577701,0.001373386
59,59,29.5,-0.000487446,-0.002436809,0.001462127
60,60,30,-0.000386298,-0.002321151,0.001548766
