hypo,gran,L1,L2,L4,L6,L8,L10,L12,L14
IRFUS,M,Y,Y,Y,Y,NA,NA,NA,NA
IRFUS,Q,Y,Y,Y,Y,Y,Y,N,N
IRFUS,H,U,Y,Y,Y,Y,Y,U,N
IRFUS,Y,U,N,N,N,N,N,N,N
IRFSU_I,M,Y,Y,Y,U,NA,NA,NA,NA
IRFSU_I,Q,Y,Y,Y,U,U,U,Y,Y
IRFSU_I,H,Y,Y,Y,Y,Y,U,Y,Y
IRFSU_I,Y,Y,Y,Y,Y,Y,Y,Y,Y
IRFSU_D,M,N,Y,U,Y,NA,NA,NA,NA
IRFSU_D,Q,N,Y,U,U,U,U,Y,Y
IRFSU_D,H,U,Y,U,U,U,Y,U,Y
IRFSU_D,Y,U,Y,U,U,U,U,U,Y
GCUS,M,0.001,0.05,0.1,0.1,NA,NA,NA,NA
GCUS,Q,0.001,0.05,U,0.005,0.1,0.001,0.001,0.001
GCUS,H,U,U,U,U,U,0.005,0.001,0.001
GCUS,Y,U,0.05,U,U,U,U,0.005,0.001
GCSU,M,0.001,0.001,0.005,0.005,NA,NA,NA,NA
GCSU,Q,0.001,0.001,0.05,0.05,0.1,0.001,0.001,0.001
GCSU,H,U,0.05,0.1,U,U,0.005,0.001,0.001
GCSU,Y,U,U,U,U,U,U,0.005,0.001
