halfyear2,emp,unemp,semp,sempr
1948h1,57389.66667,4.083333,10669.3,.1859321
1948h2,59300.66667,3.45,10878.8,.1834503
1949h1,57074,5.65,10720.7,.1878231
1949h2,58229.5,6.166667,10832.2,.1860323
1950h1,57607.83333,6.583333,10536.8,.1829479
1950h2,60234.16667,4.066667,10180.2,.1690168
1951h1,59238.66667,3.65,9910.67,.1672722
1951h2,60687.66667,3.016667,9731.33,.1603458
1952h1,59516.66667,3.316667,9484.33,.1593569
1952h2,60990.5,2.75,9610,.1575635
1953h1,60877.16667,2.916667,9597.83,.1576484
1953h2,61481.5,2.933333,9513.83,.1547137
1954h1,59479.5,5.983333,9558.83,.1606931
1954h2,60739,5.116667,9754,.1605848
1955h1,60624.83333,5.033333,9571.33,.1579089
1955h2,63715.83333,3.733333,9582.5,.1503928
1956h1,62958,4.533333,9539.83,.1515277
1956h2,64643.16667,3.75,9377.17,.1450499
1957h1,63412,4.4,9257,.1459617
1957h2,64723.83333,4.116667,9366.5,.144696
1958h1,62201,7.4,9146.17,.1470526
1958h2,63871.66667,6.2,9220.83,.1443596
1959h1,63726.5,5.983334,9186.67,.1441483
1959h2,65533.16667,4.966667,9297.5,.1418765
1960h1,64988.83333,5.616667,9085.83,.1398344
1960h2,66563.16667,5.4,9110.83,.1368956
1961h1,65050.83333,7.4,9128.33,.1403613
1961h2,66440,5.966667,8963.17,.1349125
1962h1,65897.16667,5.983334,9040.5,.137223
1962h2,67507.83333,5.1,8565.17,.1268701
1963h1,66847.33333,6.183333,8526.83,.1275629
1963h2,68678.33333,5.15,8553.83,.1245503
1964h1,68451.16667,5.75,8520.67,.1244982
1964h2,70157.66667,4.633333,8551.67,.1218915
1965h1,70017.66667,5.1,8550,.1220815
1965h2,72158.5,3.95,8236.67,.1141372
1966h1,71811.83333,4.083333,8193.17,.1140923
1966h2,73984.5,3.483333,8059.17,.1089316
1967h1,73283.66667,3.933333,7109.33,.0970125
1967h2,75459.5,3.75,7229.5,.0958098
1968h1,75041.66667,3.766667,7020.83,.0935542
1968h2,76798.33333,3.4,7153.5,.0931506
1969h1,76892.83333,3.516667,7131.5,.0927367
1969h2,78910.5,3.5,7165.67,.090804
1970h1,78159.5,4.583333,6978.83,.0892852
1970h2,79196.5,5.283333,7083.67,.0894445
1971h1,78256.83333,6.166667,7026.5,.0897793
1971h2,80476.16667,5.75,7127.17,.0885627
1972h1,80919.5,5.966667,7085.17,.0875649
1972h2,83386.5,5.266666,7229.33,.0866953
1973h1,83650,5.15,7174.33,.0857524
1973h2,86479.83333,4.633333,7334.33,.0848094
1974h1,86031.66667,5.333333,7384.5,.0858184
1974h2,87558.16667,5.85,7526.5,.0859492
1975h1,84625,8.866667,7325.17,.0865437
1975h2,87069.33333,8.066667,7529,.0864705
1976h1,87396,7.966667,7349.5,.0840806
1976h2,90110.33333,7.466667,7506.33,.0832979
1977h1,90284,7.583333,7544.83,.0835373
1977h2,93750.33333,6.55,7842.67,.0836558
1978h1,94452.5,6.35,7965.17,.0843183
1978h2,97645,5.783333,8129.5,.0832544
1979h1,97559,5.933333,8198,.0840201
1979h2,100093.5,5.733334,8570.5,.0856226
1980h1,98667.33333,6.983334,8478.17,.0859243
1980h2,99938.16667,7.3,8806.67,.0881217
1981h1,99753.83333,7.616667,8636.5,.0865697
1981h2,101040.8333,7.583333,8833.33,.087425
1982h1,98957.66667,9.433333,8740.17,.0883009
1982h2,100095.1667,9.983334,9056.33,.0904762
1983h1,98786.16667,10.58333,8950.33,.0905935
1983h2,102881,8.65,9335.17,.0907371
1984h1,103589.5,7.916667,9290.5,.0896906
1984h2,106421.1667,7.133333,9385.67,.0881918
1985h1,105946,7.483334,9130.67,.0861806
1985h2,108353.6667,6.9,9407,.0868164
1986h1,108233,7.316667,9068.17,.0837734
1986h2,110962,6.666667,9586.67,.0863953
1987h1,110948.8333,6.666667,9456.67,.0852282
1987h2,113932,5.716667,9791.5,.0859408
1988h1,113633.6667,5.766666,9748.5,.0857729
1988h2,116303.1667,5.216667,10084.7,.0867104
1989h1,116293,5.4,9872.67,.0848912
1989h2,118358.6667,5.133333,10136.7,.0856422
1990h1,118335.1667,5.55,9987,.0843847
1990h2,119251.3333,5.683333,10207.2,.0855988
1991h1,117044.8333,6.966666,10154.2,.0867421
1991h2,118391.8333,6.666667,10392.8,.0877811
1992h1,117479.3333,7.766667,9793.83,.0833615
1992h2,119504.6667,7.25,10126.3,.0847366
1993h1,118922.1667,7.35,10180.5,.0855897
1993h2,121596.3333,6.45,10378.7,.0853523
1994h1,121610.3333,6.583333,10595.3,.0871199
1994h2,124520,5.583333,10699.7,.0859289
1995h1,124072.5,5.783333,10413.7,.0839315
1995h2,125726.8333,5.433333,10550.2,.0839102
1996h1,125290,5.733334,10412.7,.0831052
1996h2,128125,5.1,10566.5,.0824688
1997h1,128342.1667,5.3,10543.7,.0821557
1997h2,130773.6667,4.6,10483.2,.0801629
1998h1,130498.3333,4.7,10231.3,.0783919
1998h2,132428.6667,4.316667,10375.3,.078348
1999h1,132605.8333,4.416667,10039.8,.0757045
1999h2,134370,4.016666,10133.8,.0754187
2000h1,136330.5,4.133333,10250.5,.075185
2000h2,137451,3.85,10178,.0740513
2001h1,136965.5,4.466666,10118.7,.0738741
2001h2,136901.1667,5,10098.3,.0737595
