qdate,employment,unemp,semp,sempr
1948q1,56460,4.4,10497,.1859188
1948q2,58319.33333,3.766667,10841.7,.1859455
1948q3,59656.33333,3.633333,10959,.1837036
1948q4,58945,3.266667,10798.7,.1831969
1949q1,56538.33333,5.466667,10520.3,.1860742
1949q2,57609.66667,5.833333,10921,.189572
1949q3,58333,6.4,10911,.1870522
1949q4,58126,5.933333,10753.3,.1850124
1950q1,56373,7.533333,10391.3,.1843321
1950q2,58842.66667,5.633333,10682.3,.1815638
1950q3,60344,4.466667,10494.7,.173952
1950q4,60124.33333,3.666667,9865.67,.1640817
1951q1,58544.66667,4.133333,9705,.1657477
1951q2,59932.66667,3.166667,10116.3,.1687968
1951q3,60834.66667,3.066667,9790.33,.1609295
1951q4,60540.66667,2.966667,9672.33,.1597621
1952q1,58876.66667,3.6,9345.67,.1587323
1952q2,60156.66667,3.033333,9623,.1599815
1952q3,60936.33333,3.033333,9576,.1571474
1952q4,61044.66667,2.466667,9644,.1579796
1953q1,60426.33333,3.166667,9490,.1570564
1953q2,61328,2.666667,9705.67,.1582403
1953q3,61995.33333,2.566667,9738.33,.1570734
1953q4,60967.66667,3.3,9289.33,.1523539
1954q1,58941,6.133333,9406,.1595759
1954q2,60018,5.833333,9711.67,.1618102
1954q3,60777.66667,5.466667,9840.67,.1619164
1954q4,60700.33333,4.766667,9667.33,.1592532
1955q1,59513.33333,5.566667,9492.67,.1595078
1955q2,61736.33333,4.5,9650,.1563101
1955q3,63683,3.766667,9644.33,.1514455
1955q4,63748.66667,3.7,9520.67,.14934
1956q1,61998,4.733333,9351,.150824
1956q2,63918,4.333333,9728.67,.1522314
1956q3,64952,3.833333,9566.67,.1472896
1956q4,64334.33333,3.666667,9187.67,.1428102
1957q1,62540,4.633333,9048.67,.144678
1957q2,64284,4.166667,9465.33,.1472454
1957q3,65168,3.833333,9482.33,.1454913
1957q4,64279.66667,4.4,9250.67,.1439008
1958q1,61446.66667,7.4,9054.33,.1473547
1958q2,62955.33333,7.4,9238,.1467505
1958q3,63864.66667,6.7,9307,.1457311
1958q4,63878.66667,5.7,9134.67,.142988
1959q1,62386,6.8,8955.33,.1435411
1959q2,65067,5.166667,9418,.1447554
1959q3,65834.66667,4.9,9308.67,.141399
1959q4,65231.66667,5.033333,9286.33,.1423541
1960q1,63617.66667,5.966667,8969.33,.1409888
1960q2,66360,5.266667,9202.33,.13868
1960q3,67045,5.133333,9076.67,.1353812
1960q4,66081.33333,5.666667,9145,.13841
1961q1,64122,7.833333,9119.67,.142219
1961q2,65979.66667,6.966667,9137,.1385036
1961q3,66658.33333,6.3,8930.33,.1339745
1961q4,66221.66667,5.633333,8996,.1358504
1962q1,64836,6.466667,8964.67,.1382685
1962q2,66958.33333,5.5,9116.33,.1361774
1962q3,67855.33333,5.166667,8701.67,.128239
1962q4,67160.33333,5.033333,8428.67,.1255012
1963q1,65672,6.6,8408.33,.1280321
1963q2,68022.66667,5.766666,8645.33,.1270938
1963q3,68948,5.2,8569.33,.1242905
1963q4,68408.66667,5.1,8538.33,.1248101
1964q1,67120,6.166667,8408,.1252715
1964q2,69782.33333,5.333333,8633.33,.1237249
1964q3,70454.66667,4.733334,8602.67,.1221066
1964q4,69860.66667,4.533333,8500.67,.1216765
1965q1,68770,5.433333,8257,.1200661
1965q2,71265.33333,4.766667,8843,.1240968
1965q3,72398.66667,4.166667,8403.33,.1160663
1965q4,71918.33333,3.733333,8070,.1122082
1966q1,70716.33333,4.2,8027,.1135101
1966q2,72907.33333,3.966667,8359.33,.1146744
1966q3,74189.33333,3.6,8186.33,.1103553
1966q4,73779.66667,3.366667,7932,.107508
1967q1,72408.66667,4.1,7008.67,.0967955
1967q2,74158.66667,3.766667,7210,.0972294
1967q3,75674,3.833333,7327.67,.0968439
1967q4,75245,3.666667,7131.33,.0947757
1968q1,73967.66667,4,6894.67,.0932101
1968q2,76115.66667,3.533333,7147,.0938983
1968q3,77039.33333,3.6,7166.33,.0930285
1968q4,76557.33333,3.2,7140.67,.0932728
1969q1,76019,3.633333,6988.33,.0919259
